Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Air Terjun Curup Gangsa,,"Curup Gangsa, salah satu objek wisata air terjun yang sangat indah di Kabupaten Way Kanan, Lampung, tetapi masih banyak yang belum mengetahuinya. Bagi para pengunjung, objek wisata ini merupakan surga destinasi yang tersembunyi yang terletak di Lampung. Sepanjang perjalanan, Anda akan menemukan banyak pepohonan rimbun yang menyejukan mata seperti perkebunan kopi, lada dan lain-lain.",Setiap Hari(08.00 - 18.00),Rp10.000,,,wisata air
Museum Lampung ,,"Museum Tanah Lampung atau Museum Lampung, adalah sebuah museum yang terletak di Kota Bandar Lampung, provinsi Lampung, Indonesia. Beralamat di Jalan ZA Pagar Alam No.64 Bandar Lampung. Museum ini merupakan museum pertama dan terbesar di provinsi Lampung dan merupakan kebanggaan pemerintah provinsi Lampung.",Senin - Sabtu(08.00 - 14.00),Rp1.000,,,museum
Rumah Adat Jajar Intan,,"cagar budaya Rumah Adat Jajar Intan. Rumah-rumah panggung dengan ornamen khas adat Lampung ini berdiri kokoh dan sangat terawat. Tempat ini biasanya digunakan untuk upacara adat atau begawi oleh masyarakat Lampung. Rumah panggung ini dibangun pada tahun 1998 dengan filosofi yang sama dengan rumah jaman terdahulu, dimana masyarakat lampung masih tinggal di hutan. Rumah kayu dibangun dengan panggung, atau istilahnya rumah panggung, bertujuan untuk menghindari hewan buas seperti harimau masuk ke dalam rumah.",Setiap Hari(24 jam),Gratis,,,museum
Museum Mahkota Dipuncak Nur,,"museum mahkota Dipuncak Nur menghadirkan pesona rumah adat panggung khas Lampung lengkap dengan ornamennya. Museum Mahkota Dipuncak Nur dirawat dan dijaga secara temurun oleh pewaris sedarah untuk menjaga jati diri adat istiadat Lampung. Di dalam Museum rumah panggung ini, dipamerkan berbagai peralatan, perhiasan dan pakaian adat Lampung, senjata pusaka adat Lampung yaitu Terapang atau Keris Gabus, hingga kain-kain khas. Dan yang paling disoroti adalah singgasana yang terukir indah. ",Setiap Hari(24 jam),Rp1.000,,,museum
Museum Kupu-Kupu di Taman Gita Persada,,"Menikmati indahnya sayap kupu-kupu dengan suasana rimbunnya pepohonan, bisa Anda dapatkan di taman kupu-kupu Gita Persada. Ide mendirikan museum yang berdiri pada tahun 1997 ini dicetuskan untuk menghindari kepunahan massal serangga bersayap cantik ini akibat eksploitasi berlebihan. Ratusan jenis kupu-kupu berhasil dikembangbiakkan di dalam penangkaran Taman ini. Sambil menikmati kepakan sayap kupu-kupu, jika beruntung Anda akan dapat melihat proses kupu-kupu dewasa yang keluar dari kepompong. Eduwisata menjadi lengkap dengan mempelajari metamorfosis ulat menjadi kupu-kupu secara langsung.",Setiap Hari(08.00 -17.00),Rp10.000,,,museum
Museum Nasional Ketransmigrasian Lampung,,"Museum Nasional Ketransmigrasian ini terletak 20km dari Bandar Lampung dengan waktu tempuh jalur darat selama 30 menit. Lokasi tepatnya berada di Kabupaten Pesawaran. Merupakan museum transmigrasi pertama dan satu-satunya di dunia, museum ini memberikan informasi sejarah mengenai transmigrasi di Indonesia pada jaman penjajahan kolonial Belanda pada tahun 1905.",Senin - Jumat(08.00 - 16.00),Rp1.000,,,museum
Alam Wawai Eco Park,,"Alam Wawai Eco Park buka mulai pukul 10 pagi sampai 5 sore. Taman ini dikenakan tiket masuk sebesar 20 ribu untuk satu orang pengunjung. Lokasinya berada di dekat Taman Lembah Hijau. Tepatnya berlokasi di Tanjung Karang Barat, Bandar Lampung. Taman ini merupakan tempat terbaik untuk menikmati betapa indahnya kota Bandar Lampung dari atas ketinggian. Menarinya lagi pemandangan yang disuguhkan tidak hanya keindahan kota, melainkan juga view yang menghadap lautan. Disediakan fasilitas berkemah untuk para pengunjung yang ingin bermalam di Alam Wawai Eco Park.",Seiap Hari(10.00 -17.00),Rp20.000,,,pegunungan dan pedesaan
Bukit Sakura Kemiling,,Bukit Sakura Kemiling merupakan taman yang ada di ketinggian. Tentu pemandangan yang disuguhkan yaitu latar belakang kota Bandar Lampung yang terlihat bercahaya pada malam hari. Taman keren yang satu ini sangat cocok untuk dijadikan spot foto. Itu karena berbagai fasilitas spot foto telah ada.,Setiap Hari(08.00 - 22.00),Rp10.000,,,pegunungan dan pedesaan
Lampung Elephant Park ,,"Taman yang berada di tengah kota dekat Bundaran Gajah ini masih tergolong baru karena belum lama diresmikan oleh Gubernur Lampung. Apabila dilihat-lihat, Lampung Elephant Park mirip dengan Taman Safari di Bogor. Selain lokasinya yang strategis, juga tidak dikenakan biaya masuk.",Setiap Hari(24 jam),Rp5.000,,,wisata kota
Taman Purbakala Pugung Raharjo,,"Situs Purbakala Pugung Raharjo atau sering disebut Taman Purbakala Pugung Raharjo merupakan situs arkeologi yang terletak di Desa Pugung Raharjo, Kecamatan Sekampung Udik, Kabupaten Lampung Timur, Provinsi Lampung, Indonesia.",Setiap Hari(07.00 - 17.00),Rp8.000,,,wisata kota
Agrowisata Horti Park,,"Agrowisata Horti Park juga menawarkan destinasi wisata edukasi yang sangat bermanfaat untuk pengunjung. Berbagai aneka jenis tanaman akan tampak apabila sudah memasuki kawasan holtikultural tersebut. Aneka tanaman disini pun sangat lengkap yang ditanam dengan cara biasa maupun hidroponik. Misalnya saja seperti buah strawberry, buah jeruk, bunga matahari, dan masih banyak lagi. Buat pengunjung yang menyukai buah strawberry, Anda bisa datang langsung ke taman tersebut. Disana pengunjung boleh memetik sendiri buah strawberry. Selain itu, buah yang dipetik boleh dibawa pulang sebagai oleh-oleh untuk orang rumah.",Setiap Hari(08.00 - 17.30),Rp10.000,,,wisata kota
Alun Alun Simpang Pematang,,"Masyarakat Lampung, sering mengisi waktu sore untuk menikmati senja di Alun-alun Simpang Pematang Mesuji. Tempatnya strategis dengan berhadapan langsung dengan rumah dinas Bupati Mesuji. Taman ini memiliki lapangan basket, sepak bola, air mancur, kolam dan juga ramai oleh penjaja makanan.",Setiap Hari(24 jam),Gratis,,,wisata kota
Wisata Villa Gardenia,,"Wisata Villa Gardenia merupakan taman yang lokasinya berada dekat dengan pantai Sari Ringgung. Taman ini juga menjadi salah satu tempat favorit masyarakat Bandar Lampung. Lokasinya mudah untuk dijangkau, tepatnya di Kabupaten Pesawaran, Bandar Lampung.",Setiap Hari(24 jam),Rp10.000,,,wisata kota
Kebun Raya Liwa,,Kebun Raya Liwa adalah salah satu destinasi wisata andalan Kabupaten Lampung Barat. Bisa masuk ke dalam list tempat yang bisa kamu kunjungi saat liburan ke Liwa. Bisa melihat banyak jenis tanaman di sini. Dan tentu saja bisa foto-foto seru yang kemudian bisa kamu unggah ke akun media sosialmu.,Selasa - Kamis(09-16.00) dan sabtu - minggu(09.00 -16.00) ,Gratis,,,wisata kota
Puncak Desa Wisata Pujo Rahayu,,"Taman Bukit Raya (TABURA) Pelayangan adalah sebuah destinasi wisata baru yang terletak di ujung kulon Desa Pujorahayu Kecamatan Negeri Katon Provinsi Lampung.Bukit Pelayangan awalnya hanyalah sebuah Perbukitan yang gersang,.Dengan kemampuan materi dan pemikiran seadanya, Pemerintah Desa dan BPD membentuk sebuah organisasi kecil POKDARWIS untuk menyulap tempat tersebut menjadi destinasi wisata yang menarik.Diawal tahun 2018 tempat tersebut benar-benar telah disepakati untuk menjadi tempat wisata.",Setiap Hari(24 jam),Rp 5.000 - Rp 10.000,,,pegunungan dan pedesaan
Pulau Penyengat,,"Masuk dalam jajaran calon situs warisan oleh UNESCO, Pulau Penyengat juga menjadi objek wisata andalah Tanjung Pinang. Terletak di tengah laut, Anda harus menyewa perahu ataupun mengikuti paket tur untuk bisa sampai ke Pulau Penyengat. Disana Anda akan menemukan banyak peninggalan yang berasal dari berbagai pemerintahan yang dulunya berkuasa di Pulau Penyengat, diantaranya Kesultanan Johor, Siak, Lingga, Pahang, hingga Kesultann Riau itu sendiri.",Setiap hari (08.00 - 18.00 WIB),Rp7.000,,,wisata air
Pulau Dompak,,Pulau ini merupakan wisata menarik yang memiliki kisah sejarah begitu beragam. Dinamakan pulau Dompak yang berarti perampok. Mereka bersembunyi disini dulunya pada saat sebelum Kemerdekaan RI. Versi lainnya mengatakan pulau Dompak dulunya telah dihuni oleh etnis Tionghoa lalu menjadi tempat peristirahatan para perompak sehingga dijuluki Pulau Dompak. Pulau Dompak lalu dijadikan kunjungan wisata baik lokal maupun luar kota. Pulau ini juga dijadikan pusat pemerintahan. Pembangunan kota di pulau ini amat pesat. Telah dilakukan pembangunan GOR sehingga warga kini bisa melakukan aktivitas berolahraga.,Setiap hari (07.00 - 19.35),Gratis,,,wisata air
Vihara Seribu Wajah,,"Jika mengunjungi Tanjung Pinang, jangan lupa sempatkan untuk mengunjungi vihara ini. Tak perlu khawatir, vihara ini dibuka untuk umum dan bisa di datangi oleh pemeluk agama lain. Arsitekturnya menarik dengan bentuk bangunan yang menyerupai tempat ibadah China. Yang menarik dari objek wisata ini adalah adanya 500 patung batu yang ditampilkan di halaman vihara. Patung-patung tersebut merupakan hibah dari pengusaha China yang namanya dipahat dalam bagian keterangan patung.",Setiap hari (07.00 - 17.00 WIB),Rp5.000,,,situs bersejarah dan religi
Sun Te Kong Temple,,"Klenteng ini menjadi tempat peringatan kegiatan besar umat Tionghoa. Letaknya dekat tepi pantai Senggarang dimana banyak ornamen khas Tionghoa yang menghiasi. Bangunan megah ini memiliki tiga atap menjulang dan menjadi klenteng terbesar di Senggareng. Klenteng Sun Tekong bermakna dewa bagi langit. Masih sering dijadikan pusat ibadah. Klenteng ini diperkirakan telah berdiri sejak 1880. Selain Klenteng Sun Tekong, terdapat 2 klenteng lainnya. Jika maknanya disatukan, ketiga klenteng bermakna bumi, laut, dan langit. Klenteng ini juga dijadikan tempat perayaan hari raya Imlek.",Setiap Hari (24 jam),,,,situs bersejarah dan religi
Taman Tepi Laut,,"Tempat wisata ini merupakan daerah pesisir Tanjung Pinang yang berada di pinggir laut. Jika Anda mengunjungi tempat ini, Anda bisa langsung berhadapan dengan ombak laut Samudera Hindia. Selain menikmati deburan ombak, Anda bisa menikmati matahari terbenam yang indah. Sambil melihat panorama, jangan lupa mencicipi kuliner di pinggiran pantainya. Terdapat berbagai spot foto menarik untuk Anda pecinta fotografi.",Setiap Hari (24 jam),,,,wisata air
Vihara Avalokitesvara Graha,,"Vihara Avalokitesvara Graha merupakan salah satu wihara Buddha di Tanjungpinang, Kepulauan Riau, Indonesia. Wihara ini disebut sebagai wihara terbesar se-Asia Tenggara. Wihara ini dibangun oleh sebuah yayasan komunitas Tionghoa di Tanjungpinang untuk dijadikan sebagai tempat memperdalam ilmu agama, berguru dan belajar para biksu, sangha, dan guru baik yang datang dari daerah lokal maupun dari luar negeri seperti Tiongkok, Singapura, dan Malaysia",,Rp5.000,,,situs bersejarah dan religi
Mesjid Raya Sultan Riau Penyengat,,"Masjid ini telah masuk sebagai bangunan cagar alam yang ditetapkan oleh provinsi Kepulauan Riau. Ini karena masjid tersebut merupakan bangunan bersejarah yang telah berdiri sejak masa pemerintahan Kesultanan Islam di pulau Penyengat. Dibangun selama 40 tahun, Masjid Raya Sultan Riau di dominasi warna kuning dan hijau, dan menjadi bangunan yang mencolok. Jika cuaca sedang cerah, Anda bisa melihat siluetnya dari pantai Pulau Penyengat.",,Gratis,,,situs bersejarah dan religi
Pantai Tanjung Siambang,,"Pantai yang berada di Riau ini memiliki air yang jernih dan sejuk. Pepohonan rindang menghiasi pantai serta pasir putih yang indah sangat cocok untuk dijadikan lokasi berlibur. Suasana pantai ini juga masih sepi karena belum banyak yang tahu lokasi pantai ini.Beberapa fasilitas yang ada di pantai ini diantaranya ayunan di dekat pantai, dermaga yang berfungsi sebagai penghubung, restoran serta ada juga penyewaan pondok.",Setiap Hari (24 jam),Rp5.000,,,wisata air
Tugu Pensil,,"Objek wisata di Tanjung Pinang ini terlihat unik, karena bentuk pensilnya dengan warna hijau yang cerah. Tugu pensil dibangun sebagai tanda keberhasilan pemerintah memberantas buta huruf di daerah tersebut. Dari Tugu Pensil ini, Anda masih bisa menikmati matahari terbenam yang terlihat dari pantai Pulau Penyengat.",Setiap Hari (24 jam),Rp5.000,,,wisata kota
Tugu Proklamasi Riau,,"Berdiri tahun 1949, tugu ini merupakan tempat pengibaran bendera kabangsaan Indonesia pertama kali. Lokasi tugu yang strategis menjadi daya tarik wisatawan. Tugu ini juga dibangun guna memperingati perjuangan Mochtar Husein dalam perjuangannya menjadikan Riau sebagai bagian NKRI. Hingga akhirnya Riau bersatu dengan NKRI pada tahun 1949. Dulunya Riau berniat bergabung dengan Singapura. Alasannya karena dianggap masih serumpun. Sedangkan Indonesia masih berbentuk Nusantara. Hingga pada akhirnya berkat perjuangan beliaulah Riau bergabung dengan NKRI.",,Gratis,,,wisata kota
Bukit Panglong,,"Bukit ini merupakan bekas tambang galian granit yang dilakukan secara terus-menerus selama 50 tahun. Sehingga menghasilkan kawah yang dalam dan makin lama diisi oleh air hujan, menghasilkan dominasi warna biru yang cantik. Pemerintah setempat berencana untuk mengembangkan Bukit Panglong sebagai objek wisata komersil dan mengolahnya sebagai sumber utama air bersih. Namun hingga saat ini, Anda masih bisa mengunjungi dan menikmati pemandangan indahnya.",Setiap Hari (24 jam),,,,pegunungan dan pedesaan
Masjid Raya Dompak,,"Masjid Raya Dompak terkenal sebagai objek wisata religi di Tanjung Pinang. Nama lainnya adalah Masjid Biru dan Masjid Kepulauan Riau. Dibangun di dataran tinggi, Anda bisa melihatnya dari pesisir pantai. Dengan menaranya yang tinggi, Anda bisa naik hingga ke puncaknya dan menyaksikan seluruh Pulau Dombak dan Kota Tanjung Pinang yang dihubungkan dengan sebuah jembatan yang cantik.",,Gratis,,,situs bersejarah dan religi
Masjid Pink,,"Sebagai daerah yang dulunya merupakan wilayah Kesultanan Islam, Tanjung Pinang memiliki banyak masjid yang tersebar di wilayahnya. Salah satunya yang cukup terkenal adalah masjid unik yang berwarna pink. Secara administratif, masjid ini sebenarnya masuk dalam Kabupaten Bintan, namun Anda bisa mengunjunginya dari Tanjung Pinang. Dengan arsitektur dan warna yang menarik, akan sayang untuk melewatkan objek wisata religi yang satu ini.",,Gratis,,,situs bersejarah dan religi
 Pantai Trikora,,"Pantai yang terkenal karena keindahan alamnya yang eksotis ini juga merupakan objek wisata yang cukup populer di Tanjung Pinang. Seperti umumnya pantai di Belitung, Pantai Trikora memilik pasir putih yang cantik dan sebaran batu-batu granit di pesisirnya. Jangan khawatir tentang fasilitas, Anda bisa menemukan beragam hiburan menarik di pantai ini. Jika ingin menginap atau beristirahat, Anda bisa mampir ke resort maupun pondokkan kecil yang tersebar di sepanjang garis pantai.",,Gratis,,,wisata air
Museum Sultan Sulaiman Badrul Alamsyah,,"Pemerintah Kepulauan Riau memberikan fasilitas berupa museum untuk wisatawan yang berkunjung ke Tanjung Pinang dan ingin mengetahui bagaimana sejarah berdirinya kota tersebut, sekaligus melihat berbagai peninggalan Kesultanan Riau sebelumnya. Selain berwisata secara edukasional, Anda juga akan mengetahui sejarah singkat bagaimana pengaruh Kesultanan tersebut dan perkembangannya, dari berbagai benda koleksi yang ditampilkan oleh Museum Sultan Sulaiman Badrul Alamsyah.",Setiap hari (08.30 - 14.30 WIB),Rp5.000,,,museum
Danau Biru Kijang,,"Kembali ke wilaya tetangga Tanjung Pinang, yakni Bintan, Anda bisa mengunjungi Danau Biru yang seringkali malah menjadi ikon wisata Tanjung Pinang. Disana Anda akan menemui pemandangan yang cantik berupa danau luas yang berwarna biru cerah. Anda bisa mengunjungi Danau Biru dengan berkendara sekitar setengah jam dari Tanjung Pinang. Karena bukan objek wisata yang komersil, Anda tidak perlu membayar tiket masuk atau retribusi apapun untuk mengunjungi danau ini. Selain masih sepi pengunjung, daerah di sekitar Danau Biru masih mernjadi pertambangan yang aktif hingga sekarang.

",,Rp5.000,,,wisata air
Taman Wisata Habibie 1000 Tangga,,"Lokasi ini dulunya adalah kawasan tempat tinggal BJ Habibie. Nama dari tempat ini juga diambil dari penggambaran banyaknya anak tangga yang harus didaki ketika berada di sini. Kawasan hiburan yang menawarkan pemandangan dari ketinggian ini memasang tarif Rp 5.000 per orang. Pemandangan yang paling menarik di sini adalah hamparan biru air laut yang bisa Anda lihat dari gazebo atau saung kecil yang dipasang menempel pohon. Terdapat pemandangan lain, yaitu penampakan negara tetangga dengan segala kesibukannya. Anda dapat melihat Singapura dengan mata telanjang ketika hari tengah cerah. Dan jangan lupa mengambil foto di sana.",,Rp5.000,,,wisata kota
Tebing Langit Bukit Dangas Sekupang,,"Bagi pemburu sunset, Anda harus mengunjungi tempat ini. Di tempat ini disediakan tempat tinggi dihiasi perlengkapan unik untuk difoto. Jika Anda ingin melihat pemandangan dari atas tebing ini, Anda harus menaiki beberapa anak tangga yang jumlahnya lumayan banyak. Tetapi, kelelahan ini akan terbayar begitu sampai di puncak. Anda dapat melihat pemandangan hamparan hijau lautan pohon. Untuk merasakan keindahan dan pemandangan dari Tebing Langit, para pengunjung harus membayar Rp. 10.000 tiap orang. Yang menarik di tempat ini adalah banyaknya spot foto dengan berbagai pemandangan di sana. Seperti contoh, saung yang berada di atas pohon, dihias semenarik mungkin dengan serabut pepohonan.",,Rp10.000,,,pegunungan dan pedesaan
Hutan Wisata Mata Kucing dan Bonbin Mini,,"Salah satu wisata edukasi di Kota Batam ini wajib Anda jajal bersama keluarga, terlebih lagi untuk Anda yang ingin memperkenalkan berbagai jenis flora dan fauna kepada anak-anak. Kunjungan Anda di hutan wisata mata kucing akan menambah pengetahuan buah hati mengenai keragaman flora dan fauna di Indonesia dan dunia. Di sini Anda bisa berfoto dengan berbagai jenis satwa yang ada. Hal ini akan menjadi momen yang menggembirakan bagi anak-anak dalam mengisi waktu liburnya. Ajaklah anak Anda berlibur di Mata kucing agar mempunyai waktu berlibur yang berkualitas.",,Rp10.000,,,pegunungan dan pedesaan
Pancur Telaga Bidadari,,"Wisata Pancur Telaga Bidadari ini dapat dikatakan sebagai wisata baru dengan pengunjung yang belum terlalu banyak. Walau begitu, tempat ini justru cocok untuk beristirahat dan rileks sejenak.Wisata ini berada di kawasan Simpang Dam. Anda dapat mencoba pengalaman berenang di pancur ini. Perairannya yang hijau jernih seolah menjadi pemandangan menarik. Ditambah, di atas pancur terdapat air terjun mini. Ketika Anda berenang di sini, Anda akan merasakan kesejukan airnya yang segar.",,Gratis,,,wisata air
Pantai Losari,,"Pantai Losari adalah sebuah pantai yang terletak di sebelah barat Kota Makassar, Provinsi Sulawesi Selatan, Indonesia yang berjarak kurang lebih 20 km dari Bandar Udara Internasional Sultan Hasanuddin. Setiap hari Minggu, masyarakat dapat menikmati hari bebas kendaraan bermotor sampai jam sepuluh pagi. Kegiatan utama yang dilakukan adalah olahraga lari dan sepeda, yang biasanya dilanjutkan dengan sarapan bubur ayam, baroncong, atau nasi kuning. Pada sore hari, semua orang bisa menikmati proses atau detik-detik tenggelamnya matahari. Memasuki waktu malam akan semakin banyak penjual makanan yang berjejer di sepanjang pantai, khususnya penjual pisang epe.",Setiap hari ( 24 jam ),Gratis,,,wisata air
Pulau Kodingareng Keke,,"Pulau Kodingareng Keke merupakan pulau yang terletak di Makassar, Sulawesi Selatan. Pulau ini merupakan salah satu pulau yang tidak berpenghuni di daerah Makassar. Meskipun dengan ukuran pulau yang kecil,tetapi pulau ini memiliki biota laut yang masih terjaga, sehingga pemandangan bawah laut pulau ini masih alami.",Setiap hari (24 jam),Rp 30.000 - Rp 50.000,,,wisata air
Pantai Akkarena,,"Pantai Akkarena merupakan destinasi wisata bahari yang berada di pesisir wilayah Tanjung Bunga, Makassar.  Nama Akkarena berasal dari bahasa Makassar yang berarti bermain, karena lokasinya menjadi destinasi berlibur. Pantai Akkarena buka untuk umum sejak tahun 1998 dengan luas 10 hektare. Tak hanya menawarkan keindahan pantai, wisatawan dapat menikmati berbagai watersport hingga cafe-cafe unik.",Setiap hari ( 06.00 - 20.00 ),Rp 10.000 - Rp 15.000,,,wisata air
Pantai Appalarang,,"Pantai Appalarang adalah sebuah pantai yang tidak memiliki pesisir. Disini wisatawan dapat berenang, memancing, berfoto-foto, dan bersantai di anjungan.",Setiap hari (24 jam),Rp5.000,,,wisata air
Pulau Kayangan,,"Pulau Kayangan adalah pulau dengan bentuk lonjong  yang berada di Makassar. Keindahan pulau ini dapat dilihat oleh pengunjung dari perahu. Pulau ini memiliki pantai pasir putih dan panorama pulau yang indah dan eksotis. Fasilitas yang disediakan adalah penginapan, resto, ragamwahan dan toilet.",Setiap hari ( 24 jam),Gratis,,,wisata air
Air Terjun Takapala,,"Air Terjun Takapala merupakan  air terjun yang cocok sebagai destinasi wisata keluarga di Gowa.  Fasilitas yang disediakan disini antara lain area parkir, toilet, gazebo, dan kantin. ",Setiap hari ( 24 jam),Rp5.000,,,wisata air
Desa Rammang-rammang,,"Desa Rammang-rammang adalah wisata Alam yang membentang gugusan karst menara atau tower karst terpanjang kedua di dunia setelah Cina dan Karst tercantik ketiga didunia setelah Cina dan Vietnam serta memiliki 280 gua, sebanyak 16 gua di antaranya menjadi situs prasejarah tertua didunia. Wisata rammang-Rammang juga memanjakan mata pengunjung dengan sejumlah paket objek wisata lain seperti Menyusuri sungai dengan perahu jolloro disuguhkan pemandangan pohon nipa dan bakau, taman batu, sosokeng, dan sepak labbua, Gua Prasejarah, Watching Bird, River Tour, Night Tour, kampung Berua, dan kampung budaya Massaloeng.",Setiap hari (24 jam),Rp2.500,,,pegunungan dan pedesaan
Hutan Mangrove Tongke-tongke,,"Kawasan hutan mangrove Tongke-tongke di Desa Tongke-tongke, Kecamatan Sinjai Timur, Kabupaten Sinjai, adalah salah satu destinasi wisata penting di Sulawesi Selatan  yang ditetapkan sebagai desa wisata. Sesuai dengan namanya, wisatawan akan dimanjakan dengan sejumlah pepohonan mangrove rindang tampak menyapa di kawasan wisatanya. Aroma khas laut samar samar masuk ke indra penciuman, sedangkan pandangan terpaku dengan pesona lautan lepasnya yang begitu menawan dan dihiasi pohon mangrove di pinggiran pantainya.",Setiap hari ( 08.00 - 17.00),Rp10.000,,,wisata air
Pantai Seruni,,Pantai Seruni merupakan pantai yang mempunyai pasir yang berwarna kecoklatan dan dihiasi dengan pasir berwarna hitam yang menarik perhatian. Pantai ini dikelilingi perbukitan yang hijau dengan tumbuhan pandan laut dan tumbuhan khas pesisir pantai. Pantai Seruni ini juga menjadi salah satu pantai yang cocok untuk kegiatan camping.,Setiap hari (24 jam),Rp10.000,,,wisata air
Teluk Laikang,,"Teluk Laikang terletak di Dusun Puntondo, Desa Laikang, Kecamatan Mangarabombang, Kabupaten Takalar, Sulawesi Selatan. Fasilitas yang disediakan antara lain bungalow, arena outbound, dan juga masjid. Selain itu, wisatawan juga bisa melakukan diving dan snorkeling.",Setiap hari (24 jam),Rp15.000,,,wisata air
Air Terjun Ketemu Jodoh,,"Air Terjun Ketemu Jodoh merupakan air terjun yang cukup terkenal berkat pesonanya yang luar biasa, dengan bentuk tebing yang berundak. Air terjun ini juga memiliki mitos legendaris. Alam disini masih asri dan alami, ditambah kesejukan udara dan suasana yang tenang, jauh dari hiruk pikuk. Air Terjun Ketemu Jodoh memiliki dua undakan, yang mana masing-masing undakan memiliki kolam alami tepat di bawahnya. Setiap undakan kira-kira memiliki ketinggian 10 meter, dengan pepohonan hijau menjadi penghias di samping kanan dan kirinya. Di aliran sungainya terdapat bongkahan batu-batu besar yang membuat suasana terlihat lebih alami.",Setiap hari (24 jam),Rp10.000,,,wisata air
Tanjung Bira,,"Pantai Tanjung Bira Bulukumba yang terletak di Kabupaten Bulukumba Sulawesi Selatan. Pantai Bira Bulukumba ini menjadi salah satu tempat unggulan di Pulau Sulawesi yang keindahannya mampu menyamai pantai-pantai di pulau Bali. Daya tarik yang ada pada pulau ini antara lain pasir putih, air laut yang jernih, dan dekat dengan pembuatan kapal phinisi. Fasilitas yang disediakan penginapan dan tempat makan.",Setiap hari (24 jam),Rp 10.000 - Rp 20.000,,,wisata air
Pantai Pulau Liukang Loe,,Liukang Loe merupakan sebuah pulau kecil dan bisa dikunjungi dari Pantai Bira menggunakan perahu. Di sini terdapat pemukiman dengan warga yang ramah. Pemandangannya pun sangat memanjakan mata. Hamparan laut biru dan terumbu karang di bawahnya terlihat eksotis. Belum lagi ada sekelompok ikan kecil nan cantik yang turut meramaikan,Setiap hari ( 07.00 - 18.00 ),Rp10.000,,,wisata air
Puncak Gunung Sesean,,"Gunung Sesean merupakan destinasi wisata pegunungan yang menjadi titik tertinggi di Toraja. Gunung Sesean ini berada di Desa Sesean, Kecamatan Sesean Solora, Toraja Utara dengan ketinggian sekitar 2.100 di atas permukaan laut. Gunung Sesean memiliki jalur pendakian yang tidak ekstrim sehingga cukup aman untuk para pendaki, turis bahkan anak-anak. Treknya juga tidak begitu menanjak dan cukup mudah dilalui",Setiap hari (09.00 - 17.00),Rp 20.000 - Rp 50.000,,,pegunungan dan pedesaan
Taman Nasional Taka Bonerate,,"Taman Nasional Taka Bonerate adalah taman laut yang mempunyai kawasan atol terbesar ketiga di dunia setelah Kwajifein di Kepulauan Marshall dan Suvadiva di Kepulauan Maladewa. Luas total dari atol ini 220.000 hektare dengan sebaran terumbu karang mencapai 500 km².  Spesies flora yang ada disini antara lain berbagai jenis koral, pohon kelapa, pandan laut, cemara laut, dan ketapang. Kemudian untuk spesies faunanya, terdapat sekitar 295 jenis ikan karang dan berbagai jenis ikan konsumsi yang bernilai ekonomis tinggi seperti kerapu.",Setiap hari (08.00 - 18.00),Rp5.000,,,wisata kota
Danau Tempe,,"Danau Tempe adalah danau tektonik yang membentang di tiga kabupaten di Sulawesi Selatan, di antaranya Kabupaten Wajo, Kabupaten Sidenreng Rappang, dan Kabupaten Soppeng. Danau ini dianggap sebagai danau purba karena terbentuknya danau ini bersamaan dengan terbentuknya daratan Sulawesi yang berada di atas lempeng benua Australia dan Asia. Luasnya sekitar 350 km2 dan menjadikannya sebagai danau terluas kedua di Sulawesi. Danau ini juga memiliki beragam spesies ikan air tawar yang jarang ditemui di tempat lain.",Setiap hari (08.00 - 18.00),Rp125.000,,,wisata air
Gunung Kambing,,"Gunung Kambing Kota Palopo terletak di provinsi Sulawesi Selatan, Indonesia. Tepatnya di Salobulo, Wara Utara, Kota Palopo, Sulawesi Selatan 91911.  Gunung ini terletak tidak jauh dari Kota Palopo. Dari puncak gunung ini, pengunjung dapat melihat langsung pemandangan Kota Palopo dari atas.",Setiap hari ( 24 jam),Gratis,,,pegunungan dan pedesaan
Gunung Bawakaraeng,,"Gunung Bawakaraeng merupakan sumber air bagi kehidupan di Kabupaten Gowa, Sulawesi Selatan, dan beberapa wilayah lain di sekelilingnya. Gunung yang memiliki ketinggian sekitar 2.845 meter di atas permukaan laut ini juga sangat cocok dijadikan lokasi pendakian gunung. ",Setiap hari (24 jam),Gratis,,,pegunungan dan pedesaan
Pantai Marina Bantaeng,,"Pantai Marina, salah satu Kawasan wisata bahari favorit di Bantaeng yang menyuguhkan panorama alam yang begitu memukau. Pantai Marina memiliki pasir berwarna putih dan juga halus, terutama saat Anda menginjakkan kaki di pesisir lautnya. Apabila Anda berkunjung pada sore hari, pastinya pemandangan matahari yang mulai terbenam juga bisa dinikmati. Selain hamparan pasir putih yang begitu nyaman di kaki, pesona Laut Flores yang begitu bersih juga menjadi nilai tambah untuk menjadi daya tariknya. ",Setiap hari (05.00 - 20.00),Rp5.000,,,wisata air
