Destinasi,Detail,Preferensi 2
Crystal Bay Nusa Penida,Crystal Bay Nusa Penida merupakan tempat yang terkenal untuk scuba diving atau snorkeling. Disini juga terdapat batu karang yang spektakuler yang tepatnya berada di tengah teluk. Crystal Bay juga merupakan salah satu spot diving paling populer di pulau Nusa Penida saat musim panas karena saat itu pengunjung dapat  Mola Mola yang terkenal.,wisata air
Pasih Uug,"Broken Beach atau Pasih Uug merupakan tebing karang setinggi 200 meter yang menjorok ke lautan. Tebing ini mengalami abrasi selama berabad-abad, sehingga membentuk lubang pada bagian tengahnya yang tampak seperti gua raksasa. Tak seperti pantai pada umumnya, Pasih Uug tidak memiliki pasir putih untuk bermain atau berlarian, melainkan tebing terjal yang sangat menantang untuk dijelajahi. Bagi para wisatawan yang gemar akan petualangan, beberapa lokasi di sekitar Pasih Uug dapat dijadikan lokasi trekking dengan medan berbatu yang cukup terjal.",wisata air
Nusa Ceningan,"Nusa Ceningan Bali merupakan bagian dari gugusan Pulau di Nusa Penida yang hanya memiliki luas 300,6 hektar. Pulau terkecil dari “Trio Nusa” ini posisinya berada di antara Penida dan Lembongan. Ceningan Island memiliki pura yang menjadi tempat suci bagi para penduduk setempat. Banyak hal menarik yang dapat Anda lakukan saat di Ceningan. Misalnya mengunjungi Ceningan Secret Beach, Pantai Blue Lagoon, melakukan snorkeling, bermain di Mahana Cliff Jumping Point, dan melihat kemegahan Jembatan Kuning.",wisata air
Banah Cliff,"Banah Cliff merupakan merupakan salah satu tempat yang memiliki banyak pepohonan hijau di Pantai Banah. Disini terdapat sebuah tebing besar seperti membentu huruf N kecil karena bagian tengahnya berlubang. Sedangkan di bagian atasnya ditumbuhi pepohonan rindang, padahal aslinya tebing itu adalah batu kapur. Dari atas Banah Cliff, pengunjung dapat merasakan sensasi menakjubkan dan melihat pemandangan Manta Point",pegunungan dan pedesaan
Air Terjun Tegenungan,"Air terjun Tegenungan adalah air terjun yang terdekat dengan kawasan tempat wisata Bali Selatan. Sebagian besar air terjun di Bali berlokasi di daerah pengunungan atau daerah yang memiliki dataran tinggi. Tetapi air terjun Tegenungan, berada di dataran rendah. Ketika sampai di lokasi parkir kendaraan, pengunjung akan melihat banyak toko-toko kecil yang menjual sovenir untuk oleh-oleh. Pengunjung juga akan melihat adanya warung-warung sederhana yang menjual makanan dan minuman. Tersedia mie goreng, makanan ringan dan kelapa muda.",pegunungan dan pedesaan
Hidden Canyon Beji Guwang,"Hidden Canyon Beji Guwang Sukawati adalah objek wisata alam di Pulau Bali berupa ngarai (canyon) atau lembah yang dalam dan sempit dengan lereng yang sangat curam akibat erosi. Dilokasi sumber air suci ini juga terdapat penjual makanan dan minuman mulai dari tipak cantok, rujak, coca cola, snack makanan ringan hingga makanan khas bali pun tersaji.",pegunungan dan pedesaan
Bukit Campuhan Ubud,"Bukit Campuhan atau Campuhan Ridge Walk merupakan destinasi wisata yang fotogenik dan instagramable. Tempat ini menawarkan pemandangan hijau yang menyegarkan mata. Aktivitas yang dapat dilakukan disini antara lain melihat sunrise, bersepeda, dan Pergi Ke Ubud Palace atau Puri Saren Agung. ",pegunungan dan pedesaan
Pura Tirta Empul,"Pura Tirta Empul adalah pura Hindu di tengah pulau Bali, Indonesia, tepatnya di Desa Manukaya. Pura Tirta Empul dibangun disekililing sebuah sumber mata air yang besar pada 962 M selama wangsa Warmadewa oleh raja Sri Candrabhayasingha Warmadewa. Untuk sebagian besar waktu, Tirta Empul diyakini sebagai sumber air bersih yang dianggap sebagai air suci yang digunakan untuk ritual Hindu. ",situs bersejarah dan religi
Candi Tebing Gunung Kawi,"Candi Gunung Kawi atau Candi Tebing Kawi adalah situs purbakala yang dilindungi di Bali. Candi ini berupa pahatan di dinding tebing batu padas ditepi sungai. Candi Gunung Kawi Memiliki sekitar 315 anak tangga di tubir Sungai Pakerisan. Suasana asri yang tampak dari rerimbunan pohon di tepi sungai, juga gemericik air dari sungai yang dikeramatkan di Bali ini membuat pengunjung seolah disambut oleh simfoni alam. Anak tangga-anak tangga untuk menuju Candi Gunung Kawi ini terbuat dari batu padas yang dibingkai dengan dinding batu.",situs bersejarah dan religi
Mandala Suci Wenara Wana (Ubud Monkey Forest),"Mandala Suci Wenara Wana atau disebut juga Monkey Forest Ubud merupakan sebuah tempat cagar alam dan kompleks candi. Di tempat ini mempunyai kurang lebih 749 ekor monyet ekor panjang. Ada enam kelompok monyet yang menempati wilayah berbeda di hutan ini yaitu grup Pura, grup Hutan Baru, grup Sentral Point, grup timur, grup Michelin dan grup Kuburan. Monkey Forest Ubud ini pun juga terdapat tiga pura yang bernama Pura Dalem Agung Padangtegal, Pura Beji dan Pura Prajapati. ",situs bersejarah dan religi
Desa Penglipuran,"Desa adat Penglipuran merupakan sebuah komplek pemukiman penduduk yang ramah lingkungan, bangunan-bangunan tertata rapi dibangun di atas luas lahan yang sama, pintu utama (angku-angkul) berbentuk sama dan simetris, suasana perkampungan yang unik dan indah. Desa Penglipuran Bangli  memiliki tata ruang yang konseptual, membuatnya tampil unik, perumahan tertata sangat rapi, jalanan bersih dan tenang tanpa kendaraan bermotor. Sebuah tempat parkir disediakan untuk kendaraan anda baik itu mobil ataupun bus pariwisata.",pegunungan dan pedesaan
Bukit Nanggi,"Bukit Nanggi merupakan bukit tertinggi yang ada di Sembalun dengan ketinggian total sekitar 2.300 mdpl, mirip dengan Gunung Tambora. Daya tarik yang ada di tempat wisata ini antara lain pemandangan yang alami, titik puncak yang menantang, kawasan pegunungan yang memukau, dapat melihat sunrise dan sunsite, serta area camping yang bagus. ",pegunungan dan pedesaan
Bukit Pergasingan,"Bukit Pergasingan merupakan salah satu jejeran bukit yang ada di kawasan lingkar Gunung Rinjani. Yang menjadi keunggulan Bukit Pergasingan dibandingkan bukit-bukit lain yang ada di kawasan TNGR adalah panorama yang disuguhkan selama pendakian. Para pendaki disuguhkan pemandangan Desa Sembalun dan berpetak-petak sawah warga sekitar yang berwarna warni, serta jejeran bukit-bukit lainnya yang mengelilingi Gunung Rinjani.",pegunungan dan pedesaan
Bukit Merese,"Bukit Merese atau warga setempat menyebutnya Merisik yang artinya bukit gundul. Disebut gundul karena tidak ditemui pepohonan di atasnya, hanya satu buah pohon di ujung barat bukit yang oleh para pengunjung sering disebut Pohon Galau. Pengunjung dapat melihat sunset di ufuk barat dengan langit yang berwarna senja, hijaunya rerumputan, garis pantai pasir putih Tanjung Aan dan birunya air laut Lombok bagian selatan, Pantai Tanjung Bongo yang tersembunyi ditambah lagi dengan kerbau yang berbaris rapi melintasi bukit ini.",pegunungan dan pedesaan
Bukit Seger Kuta,"Bukit Seger Kuta merupakan destinasi wisata kombinasi antara bukit dan juga pantai. Daya tarik yang ada di tempat wisata ini antara lain bisa melakukan snorkeling, berenang, berselancar, menikmati pemandangan alam yang menawan, dan menyaksikan ritual Bau Nyale. Fasilitas yang disediakan antara lain warung makan, penginapan sederhana, lokasi parkir, toilet, kamar ganti, tempat untuk istirahat, jembatan, pondok-pondok, dan patung yang dibangun untuk mengenang sejarah dan tradisi.",pegunungan dan pedesaan
Gunung Rinjani,"Gunung Rinjani merupakan gunung berapi kedua tertinggi di Indonesia dengan ketinggian 3.726 mdpl. Gunung Rinjani dialasi oleh batuan sedimen klastik Neogen (termasuk batu gamping), dan setempat oleh batuan gunungapi Oligo-Miosen. Pendakian Gunung Rinjani (puncak) merupakan salah satu objek wisata yang menjadi andalan di kawasan Taman Nasional Gunung Rinjani karena pemandangannya yang menakjubkan.",pegunungan dan pedesaan
Bukit Selong,"Bukit Selong merupakan wisata alam yang bersejarah. Bukit Selong berada di Desa Sembalun Lawang, Lombok Timur, NTB; tepatnya berada di kaki Gunung RinjaniBukan hanya menawarkan tentang keindahan alam terbuka saja, namun sajian sejarah dan budaya, adalah bonus wisata saat berada di Bukit Selong. Fasilitas yang ada di tempat ini antara lain toilet, area parkir yang cukup luas, kedai penjual makanan, warung kopi serta area camping. ",pegunungan dan pedesaan
Air Terjun Benang Kelambu,"Air Terjun Benang Kelambu merupakan air terjun yang terletak di kawasan Geopark Rinjani. Air terjun ini telah diakui oleh UNESCO sebagai Taman Bumi Dunia. Air terjun ini berasal dari banyak mata air yang keluar melalui celah di sepanjang tebing. Namun, tebing yang tertutup dengan tumbuhan subur terlihat seakan air keluar dari situ. Itu sebabnya dinamakan Air Terjun Benang Kelambu. Lapisan tipis air terjun berwarna putih terlihat begitu menawan, persis seperti tirai kelambu yang menjuntai. Fasilitas yang tersedia di sini cukup memadai, terdapat area parkir, toilet, kamar ganti, tempat berteduh, kursi taman, warung makan dan minuman, gazebo, dan juga spot foto. ",pegunungan dan pedesaan
Mangku Sakti Water Fall,Mangku Sakti Water Fall merupakan air terjun yang anti-maintream dengan air yang tak jernih melainkan berwarna hijau toska. Hal tersebut karena campuran belerang pada air terjun. Aliran air terjun Mangku Sakti berasal dari Kokoq Puteq yang airnya langsung dari Danau Segara Anak di Gunung Rinjani. Aktivitas yang dapat dilakukan disini antara lain berenang dan berendam. Sebab air disini masih terbilang alami karena belum terkontaminasi oleh senyawa kimia maupun sampah.,pegunungan dan pedesaan
Telaga Madu Waterfalls,"Seperti air terjun dari aliran kokok Putek, airnya putih mengandung belerang. Kolam jatuhan airnya lumayan luas. Teman-teman bisa mandi dan berenang. Tetep safety no 1 ya. Jangan mandi di bawah jatuhan air.Jalan ke sini mohon dengarkan apa ada orang sedang potong kayu di atas. pernah kayu jatuh saat kami jalan. Alhamdulillah gak kena .di atas sungai ada kebun warga.Mohon kunjungi saat musim kering karena sungai ini besar dari atas. You never know apa yg terjadi kalo hujan sangat besar di hulu.Ke sini perlu persiapan karena treknya ada yang curam terutama di jalur ke umar maya.Bawa bekal air & snack cukup karena cuaca di sini cenderung panas",pegunungan dan pedesaan
Gili Air,"Gili Air merupakan salah satu dari tiga pulau gili terkenal di Lombok, yaitu Gili Trawangan, dan Gili Meno. Berkunjung ke Gili Air wisatawan dapat menjelajahi beberapa titik untuk menikmati keanekaragaman hayati laut Indonesia. Diantaranya pengunjung dapat melihat spot kuda laut, kura-kura, beragam ikan dengan berbagai warna, serta keanekaragaman penghuni laut lainnya. Fasilitas wisata di Gili Air sangat lengkap,terdapat fasilitas seperti hotel, restoran, maupun bar, sehingga dapat membuat wisatawan nyaman berkunjung ke pulau ini. ",wisata air
Pink Beach,"Pink beach atau pantai pink merupakan pantai dengan pasir pantai berwarna pink. Warna pink pada pasirnya sendiri berasal dari butir-butir asli warna putih pasir, bercampur dengan terumbu karang berwarna merah yang sudah mati. Selain bermain-main di Pink beach, Labuan Bajo, aktivitas favorit lainnya adalah melakukan snorkeling dan diving. Berbagai jenis terumbu karang dan ragam ikan yang indah, bisa kamu nikmati di taman bawah lautnya.",wisata air
Desa Sembalun,"Kecamatan ini terdiri dari 6 desa yaitu Desa Sembalun Bumbung, Desa Sembalun Lawang, Desa Sajang, Desa Bilok Petung, Desa Sembalun, dan Desa Sembalun Timba Gading.Ibu kota Kecamatan Sembalun berada di Desa Sembalun Lawang, yang berjarak sekitar 45 km dari ibu kota Kabupaten Lombok Timur ( Selong ). Desa Sembalun Bumbung memiliki wilayah terluas yaitu 57,97 Km2 atau sekitar 26,70 % dari keseluruhan luas wilayah Kecamatan Sembalun, dan yang tekecil adalah Desa Sembalun Timba Gading dengan luas 15,76 Km2 .Desa-desa yang berada di Kecamatan Sembalun memiliki ketinggian yang bervariasi antara 800 hingga 1.200 meter di atas permukaan laut. Jarak tempuh tiap desa ke ibu kota kecamatan relatif dekat, jarak yang paling jauh yaitu dari Desa Sajang dan Desa Bilok Petung yang mencapai 6 km dan 15 km. Sedangkan jarak terdekat ke ibu kota kecamatan adalah Desa Sembalun yaitu 0.025 km (25 m), karena kantor kecamatan ada di dasa tersebut.",pegunungan dan pedesaan
Desa Bayan Sasak,Desa Bayan Sasak merupakan pemukiman asli Suku Sasak yang hingga saat ini masih memegang teguh adat istiadat dan tradisi leluhur. Hal ini nampak dari arsitektur mereka yang masih sangat sederhana. Masyarakat Desa Bayan juga dikenal sangar ramah kepada siapa saja. Mereka akan mengundang siapapun yang ingin duduk di Berugaq rumahnya untuk ngobrol sambil mencicipi hidangan khas yang mereka sediakan.,pegunungan dan pedesaan
Wisata Alam Aiknyet,"Aik Nyet Sesaot yang merupakan sebuah pemandian alami di Desa Sesaot. Ketika  pertama kalinya datang ke tempat ini, suasana menyegarkan khas pegunungan akan menyapa dari langkah pertama. Hutan rimbun nan hijau akan menjadi pemandangan yang didapatkan selama perjalanan menuju pemandian. ",pegunungan dan pedesaan
Batu Payung,"Batu Payung merupakan batuan pyroklastik yang dalam ilmu geologi namanya tufa atau lapili dengan sisipan batu gamping. Seperti namanya Batu Payung, disini terdapat batu nesar yang mirip payung. Bagian bawah terlihat ramping kemudian bagian atas melebar sehingga Anda bisa berteduh di bawahnya layaknya payung.",situs bersejarah dan religi
Goa Bangkang Prabu,"Goa Bangkang Prabu merupakan salah satu goa yang memiliki spot foto yang paling unik. Disekeliling goa, terdapat perbukitan dengan hutan yang hijau karena banyaknya tumbuhan dan pepohonan. Bagi para wisatawan yang berada di Lombok, jika telah merasa bosan dengan pantai-pantai yang terlihat di berbagai tempat, lokasi ini cocok untuk menjadi alternatif. Daya tarik yang paling menonjol dari obyek wisata ini adalah spot fotonya. Yaitu spot goa yang langit-langitnya dimasuki sinar dari atap goa. Penampakannya seperti efek cahaya yang turun dari langit. ",situs bersejarah dan religi
Nest Sculpture,"Patung yang sangat indah terdiri dari lingkaran 48 tokoh seukuran manusia yang mengelilingi lebih banyak tokoh di dasar laut. Dirancang oleh Jason deCaires Taylor, potongan-potongan yang saling terkait terhubung untuk menyediakan platform bagi kehidupan laut untuk menjajah dan menghuni. Ketika karang terus terbentuk pada patung netral pH, semakin banyak kehidupan laut akan terbentuk.Diberikan kepada masyarakat setempat oleh BASK Gili Meno, terumbu buatan manusia ini terletak di perairan dangkal yang merupakan berenang singkat dari pantai. Hal ini dengan cepat menjadi nomor satu harus melihat daya tarik di Kepulauan Gili, dengan perusahaan perahu lokal menyediakan perjalanan reguler ke patung-patung dari pulau-pulau sekitarnya.",wisata kota
Gili Lawadarat,Gili lawa darat merupakan salah satu destinasi trip sailing Flores yaitu berlayar dengan kapal live on board dan mengunjungi destinasi destinasi yang ada di Flores. Keistimewaan di gili lawa ini adalah kita dapat menemukan matahari terbenam dan matahari terbit. Merupakan bukit yang terdapat savana sehingga kita dapat menikmati suasana tenang dan indahnya gili lawa. Terdapat juga beberapa rusa yang hidup disana ditambah dengan view laut yang memanjakan mata,wisata air
Danau Kelimutu,"Danau atau Tiwu Kelimutu di bagi atas tiga bagian yang sesuai dengan warna - warna yang ada di dalam danau. Danau berwarna biru atau ""Tiwu Nuwa Muri Koo Fai"" merupakan tempat berkumpulnya jiwa-jiwa muda-mudi yang telah meninggal. Danau yang berwarna merah atau ""Tiwu Ata Polo"" merupakan tempat berkumpulnya jiwa-jiwa orang yang telah meninggal dan selama ia hidup selalu melakukan kejahatan/tenung. Sedangkan danau berwarna putih atau ""Tiwu Ata Mbupu"" merupakan tempat berkumpulnya jiwa-jiwa orang tua yang telah meninggal.",wisata air
Goa Rangko,"Gua Rangko Labuan Bajo adalah salah satu gua yang terletak di Nusa Tenggara Timur. Arsitektur karya alam yang begitu menakjubkan tentu akan membuat pengunjung betah untuk berlama-lama berada di sini. Selain itu, tempatnya yang masih belum banyak dikunjungi membuat suasana masih terasa alami dan tenang. ",wisata air
Pulau Mangiatan,"Pulau Sembilan sebenarnya bernama Pulau Mangiatan. Penyebutan Pulau Sembilan karena bentuk pulau ini mirip dengan angka sembilan jika dilihat dari udara. Pulau Mangiatan merupakan salah satu spot yang sudah terkenal daya pikatnya. Gugusan karang berbentuk bulan sabit ini terletak di Pulau Mangiatan, Kepulauan Komodo. Di sana, kamu bakal dimanjakan oleh pemandangan Pulau Karang dan birunya laguna yang bikin berdecak kagum.",wisata air
Air Terjun Cunca Wulang,"Air Terjun Cunca Wulang adalah air terjun yang bebatuan asalnya merupakan batuan kapur. Di sekitar air terjun terdapat bongkahan tebing yang di bawahnya adalah aliran air dari air terjun. Beberapa hal yang bisa dilakukan oleh para pengunjung diantaranya berenang di bagian kolam tepat terjunnya air, mendaki tebing, atau bahkan melompat dari tebing menuju air di bagian kolam alami. ",wisata air
Desa Tradisional Bena,Desa Tradisional Bena Bajawa merupakan sebuah perkampungan megalitikum yang terletak di Desa Tiwuriwu.  Setiap rumah tersusun rapi dan saling mengelilingi membentuk huruf U dengan posisi di tengah-tengah merupakan tempat upacara adat digelar dan sebuah bangunan yang merupakan simbol leluhur diletakkan.,pegunungan dan pedesaan
Manta Point,"Manta Point merupakan wisata lautan lepas tempat para manta hidup. Pada bagian laut wilayah ini menarik perhatian dengan ikan mantanya, sementara pada bagian darat pemandangan dilengkapi dengan spesies kadal besar yaitu komodo. Fasilitas dan objek wisata disini antara lain Manta-sighting spot, Koloni ubur-ubur, Pemandangan bawah laut, snorkeling dan diving serta dapat berjumpa dengan komodo secara langsung.",wisata air
Kampung Adat Ratenggaro,"Desa Adat Ratenggaro adalah sebuah kampung adat yang paling populer di Tanah Sumba. Desa Adat Ratenggaro berada di pesisir Pantai Ratenggaro dan di ujung selatan Kabupaten Sumba Barat Daya. Desa Adat Ratenggaro membuat para pengunjung seperti kembali ke jaman megalithikum, karena masih terdapat kuburan batu tua di sekitar perkampungan.",pegunungan dan pedesaan
Rumah Budaya Sumba,"Rumah Budaya Sumba adalah museum khusus yang digunakan untuk memperkenalkan sejarah dan budaya Sumba. Fungsi Rumah Budaya Sumba adalah sebagai museum sekaligus tempat wisata, penelitian, dan pertemuan, serta pusat pembelajaran kebudayaan Sumba. Rumah Budaya Sumba mengoleksi berbagai macam peninggalan kelompok etnik daerah Sumba yang berasal dari masa prasejarah hingga masa kini. Koleksi-koleksi ini merupakan sumbangan koleksi pribadi Pater Robert Ramone dan sumbangan dari setiap rumah adat Sumba. ",wisata kota
Benteng None,"Benteng None atau benteng Raja Amanuban pada zaman kerajaan ratusan tahun silam ini sekitar satu kilo meter dari jalan trans Timor. Namun karena ruas jalan masuk tersebut masih berbentuk jalan tanah, sehingga bagi pengunjung yang ingin mengunjungi dan mendapatkan informasi mengenai sejarah benteng tersebut harus berhati-hati saat menggunakan kendaraan sepeda motor maupun mobil untuk masuk ke lokasi benteng yang hingga kini masih dijaga dan dipelihara oleh para panglima perang raja amanuban. Walau terkesan tak terabaikan oleh pemerintah daerah Kabupaten TTS saat ini, Benteng None ternyata sudah dikenal luas oleh masyarakat internasional. ",situs bersejarah dan religi
Benteng Makes ( 7 Lapis),"Benteng Makes terletak di Puncak Bukit Desa Dirun, Kecamatan Lamanen, Kabupaten Belu. Benteng ini juga dikenal masyarakat lokal sebagai Benteng Lapis 7 atau Benteng Ranu Hitu karena memiliki tujuh lapis pintu masuk dan lorong-lorong jalan keluar melalui pintu belakang. Dulunya, benteng Makes ini adalah tempat pertahanan para pejuang lokal saat berperang melawan penjajah Portugis. Kini, benteng Makes digunakan warga sebagai tempat ritual untuk menghormati leluhur mereka.",situs bersejarah dan religi
Desa Wae Rebo,"Wae Rebo adalah sebuah desa adat terpencil dan misterius di Kabupaten Manggarai. Di kampung ini hanya terdapat 7 rumah utama atau yang disebut sebagai Mbaru Niang. Desa Wae Rebo menwarkan wisata Budaya dan alam yang sangat asri dan unik. Letaknya yang cukup terpencil dan diatas ketinggian, menambah kesan keasriannya sehingga para wisatawan yang datang merasakan tinggal di negeri diatas awan.",pegunungan dan pedesaan
Museum Tsunami,"Museum ini hadir untuk menambah variasi pilihan tempat wisata di aceh yang sudah ada sebelumnya. Museum tsunami terletak di Jalan Sultan Iskandar Muda dekat Simpang Jam dan berseberangan dengan Lapangan Blang Padang kota Banda Aceh dan di resmikan pada bulan februari tahun 2008. Tujuan dibangunnya museum ini adalah untuk mengenang gempa bumi yang mengakibatkan tsunami tahun 2004, selain itu  juga menjadi pusat pendidikan dan sebagai pusat evakuasi jika bencana tsunami sewaktu-waktu datang lagi.",situs bersejarah dan religi
Masjid Baiturrahman,"Masjid Raya Baiturrahman, Banda Aceh salah satu destinasi wisata religi favorit wisatawan di Kota Banda Aceh. Masjid bersejarah ini bukan hanya ikon Serambi Mekkah, tapi juga simbol perjuangan dan penyebaran Islam di Indonesia hingga semenjung Asia Tenggara. Masjid dibangun sejak abad 17 ini selama ini ramai dikunjungi wisatawan baik dalam maupun luar negeri. Terutama dari Malaysia. Bagi warga negeri Jiran yang berkunjung ke Aceh, mereka serasa wajib datang dulu ke Masjid Baiturrahman.",situs bersejarah dan religi
Air Terjun Blang Kolam,"Air Terjun Blang Kolam diperkirakan memiliki ketinggian mencapai 75 meter, sehingga terciptalah gemuruh suara air yang jatuh mengenai bebatuan sungai. Uniknya, terdapat dua aliran air terjun yang saling berdampingan. Kondisi tersebut juga seolah mempercantik air terjun yang berada di Aceh Utara ini. Bak surga yang tersembunyi, air terjun ini dikelilingi oleh tebing-tebing tinggi serta dipenuhi dengan tananaman hijau yang tumbuh subur. Bebatuan besar juga akan dijumpai wisatawan disekitar air terjun, menjadi hiasan alami yang menambah keeksotisan air terjun ini. Hutan yang masih asri dan lestari, serta kicauan burung yang bersahutan menciptakan suasana damai dan tentram.",wisata air
Danau Laut Tawar,"Danau Laut Tawar sebuah danau alami di Dataran Tinggi Gayo, Kabupaten Aceh Tengah. Warga setempat lebih sering menyebutnya ‘Danau Lut Tawar’. Luasnya yang mencapai lebih dari 5.000 hektare memang membuatnya tampak seperti laut. Danau ini populer sebagai kawasan wisata alam. Kondisinya yang berada di dataran tinggi membuatnya berselimut udara sejuk. Danau cantik ini juga dikelilingi pegunungan dan perbukitan yang indah. Banyak wisatawan dari sekitar Aceh yang menjadikannya tujuan rekreasi untuk melepas penat di akhir pekan.",wisata air
Pantai Lhoknga,"Pantai Lhoknga merupakan satu dari sekian banyak wisata Aceh, khususnya pesona laut dan pantai  yang sangat terkenal dengan pesona keindahannya. Ciri khas dari Pantai Lhoknga karena pesona keindahan alam yang dimilikinya sangat indah, serta memiliki ombak  yang dianggap bersahabat bagi destinasi wisata keluarga. Pantai Lhoknga memang telah dikenal memiliki salah satu spot surfing terbaik di Aceh. Tak hanya di Indonesia, pantai ini juga telah mendapat pengakuan dunia Internasional akan gelombang ombaknya. Dengan tiga level ombak yang berbeda, pantai ini sangat cocok bagi para penggemar olahraga pemacu adrenalin seperti surfing.",wisata air
Rumah Cut Nyak Dhien,"Museum Rumah Cut Nyak Dhien merupakan museum yang akan mengingatkan sejenak dengan pahlawan wanita berhati baja ini. Srikandi Indonesia ini memang dikenal memiliki pendirian yang teguh serta gagah berani dalam memimpin pasukan untuk melawan Belanda. Di museum tersebut, wisatawan bisa melihat senjata-senjata seperti rencong yang dulu digunakan oleh beliau.",situs bersejarah dan religi
Taman Hutan Raya Pecut Meurah Intan,"Taman Hutan Raya Pocut Meurah Intan merupakan salah satu kawapsan pelestarian alam. Sebagai kawasan pelestarian alam, Taman Hutan Raya (Tahura) memiliki tujuan untuk koleksi tumbuhan dan atau satwa yang alami atau buatan, jenis asli atau bukan asli, yang dimanfaatkan bagi kepentingan penelitian, ilmu pengetahuan, pendidikan, menunjang budidaya, budaya pariwisata dan rekreasi. Bentuk pelestarian alam yang terkombinasi tersebut sekaligus menjadi etalase keanekaragaman hayati yang mulai langka dan terancam keberadaannya sebagai akibat dari ektraksi dan ekploitasi sumberdaya hutan yang memicu degradasi hutan alam sebagai ekosistem dan atau habitat aslinya.Selain fungsi diatas, KPH Taman Hutan Raya Pocut Meurah Intan juga memiliki keanekaragaman hayati yang tinggi serta objek wisata alam yang memiliki daya tarik yang khas dan bahkan menjadi salah satu tujuan utama wisatawan.",wisata kota
Goa Sarang,"Gua Sarang Sabang adalah salah satu goa pinggir laut yang terdiri dari empat mulut gua dengan pemandangan yang menakjubkan. Goa Sarang merupakan salah satu gua yang ada di Pulau Weh, Aceh yang menghadap ke Samudera Hindia. Di depan gua ini terdapat pulau kecil atau juga disebut rock formation yang cantik. Goa ini terletak kira-kira 23 kilometer dari pusat kota Sabang tepatnya di Gampong Iboih, Kecamatan Sukakarya berada di kaki tebing. Untuk menuju ke goa, anda harus menuruni sebuah bukit dan menyulusuri jalur menuju ke bawah yang membuat kondisi ini seperti wisata petualangan bagi anda.

",pegunungan dan pedesaan
Air Terjun Pria Laot,"Air Terjun Pria Laot berasal dari nama desa tempat air terjun itu berasal yaitu Desa Pria Laot. Untuk sampai di lokasi ini kamu harus menempuh 12 km dari Kota Sabang. Lokasi wisata Air Terjun Pria Laot sendiri memiliki kolam berukuran sekitar 10 meter persegi dengan kedalaman antara 1 hingga 1,5 meter. Selain itu ketinggian Air Terjun Pria Laot hanya berkisar sekitar 15 meter sehingga tumpahan airnya tak terlalu deras. Air terjun ini juga memiliki beberapa tingkatan dan kolam alami tepat di bawahnya. Sehingga kamu bisa bermain air atau berenang sepuasnya seperti di kolam renang dengan nuansa alam yang indah.",wisata air
Lingkok Kuwieng,"Lingkok Kuwieng merupakan sebuah lembah yang terbentuk secara alami di sisi sungai. Bertahtakan bebatuan cantik, yang terbuat dari proses alam selama ratusan tahun menjadikan sebuah fenomena unik yang sungguh menawan. Tempat wisata yang juga sering disebut Uruek Meuh dan juga Lembah Istana ini belakangan semakin populer dan ramai dikunjungi wisatawan.",wisata air
Pantan Terong,"Pantan Terong adalah sebuah bukit yang terletak di puncak bukit Dataran Tinggi Gayo Takengon Kecamatan Bebesen Kabupaten Aceh Tengah. Bukit ini berada pada ketinggian lebih dari 1.350 meter di atas permukaan laut. Dari tempat ini selain tampak ibu kota Takengon dan Danau Laut Tawar secara keseluruhan, juga lapangan Pacuan Kuda Belang Bebangka di Kecamatan Pegasing, bandar udara Rembele di Simpang Tiga Redelong, dengan diapit serta dikelilingi punggung gunung bukit barisan yang elok.",pegunungan dan pedesaan
Benteng Iskandar Muda," Benteng Iskandar Muda adalah salah satu peninggalan Kerajaraan Aceh yang berada di desa Beurandeh, Kecamatan Mesjid Raya, Kabupaten Aceh Besar. Benteng ini di bangun pada abad 16 masa pemerintahan Sultan Iskandar Muda  untuk melindungi  wilayah kekuasaannya dari serangan Belanda dan Portugis.",situs bersejarah dan religi
Goa Loyang Koro," Gua Loyang Koro adalah sebuah gua yang terletak di  tepi danau laut tawar  kecamatan kebayakan  ibu kota Takengon dengan jarak tempuh lebih kurang  5 km arah timur ibu kota takengon, gua ini merupakan  salah satu objek wisata  yang sanngat indah dan asri juga ramai pengunjungnya pada  hari libur, gua ini letaknya  di kaki Gunung Birahpanyang, turun ke bawah  sekitar 15 meter melalui  bibir pantai dari jalan menuju kec. Bintang,  gua ini juga memiliki kedalaman lebih  kurang 110 meter,  untuk memasuki ke dalam gua dapat dijangkau dengan jalan setapak. Para pengunjung yang berwisata ke Gua tersebut dapat menikmati sampai ke dalam goa yang berjarak sekitar 110 meter  karena pemerintah pariwisata setempat sudah menyediakan vasilitas penerangan seperti listrik dan generator.",pegunungan dan pedesaan
